SaleID,Time,Service_Arts_time,Service_Elem_School_time,Service_Golf_time,Service_Gym_time,Service_High_School_time,Service_Historic_time,Service_ISU_time,Service_Library_time,Service_Medical_time,Service_Organic_Groceries_time,Service_Park_time,Service_Recreation_time,Service_Religion_time,Service_Restaurant_time,Service_Shopping_time,Service_Spa_time,Closest_5_feature,Closest_all_feature,Central_historic_feature,num_biz_180s_feature,num_biz_480s_feature,Rcrd_Yr,Inst1_Yr,LotArea,YrBuilt,TtlBsmtSF,Fireplaces,PoolArea,GarYrBlt,Cars,GarageArea,TotalArea,TotalArea_Gar,Has_Fireplace,Has_Garage,Has_Bsmt,AsbShng_Ext,BrkComm_Ext,BrkFace_Ext,CemntBd_Ext,HdBoard_Ext,ImStucc_Ext,MetalSd_Ext,No Data_Ext,Plywood_Ext,Stone_Ext,Stucco_Ext,VinylSd_Ext,Wd Sdng_Ext,WdShing_Ext,2 Types_GrType,Attachd_GrType,Basment_GrType,BuiltIn_GrType,Carport_GrType,Detachd_GrType,No Data_GrType,None_GrType,1_Story_HsStyle,1_5_Fin_HsStyle,1_5_Unf_HsStyle,2_Story_HsStyle,2_5_Fin_HsStyle,2_5_Unf_HsStyle,No_Data_HsStyle,S_Foyer_HsStyle,S_Level_HsStyle
308,268.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,363.96,512.4888888888888,548.9,0,8,2021.0,2021.0,9566.0,2019.0,1547.0,1.0,0.0,2019.0,3.0,797.0,3094.0,3891.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
366,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120.24000000000001,272.51666666666665,269.7,4,17,2021.0,2021.0,11765.0,1957.0,1617.0,1.0,0.0,1957.0,3.0,963.0,3414.0,4377.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412,113.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,218.42,394.8833333333333,468.1,1,13,2021.0,2021.0,7959.0,1997.0,794.0,1.0,0.0,1997.0,2.0,388.0,2284.0,2672.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
468,120.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,238.7,420.5388888888889,501.6,1,12,2021.0,2021.0,2812.0,1996.0,1296.0,0.0,0.0,1997.0,2.0,400.0,2601.0,3001.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
490,107.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,227.44,412.1722222222222,496.1,1,12,2021.0,2021.0,4693.0,1996.0,0.0,0.0,0.0,1996.0,1.0,224.0,1214.0,1438.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
500,107.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,227.32,412.19444444444446,496.3,1,12,2021.0,2021.0,4693.0,1997.0,0.0,0.0,0.0,1997.0,1.0,224.0,1214.0,1438.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
510,107.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,227.44,412.1722222222222,496.1,1,12,2021.0,2021.0,4693.0,1997.0,0.0,0.0,0.0,1997.0,2.0,419.0,1258.0,1677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
515,107.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,227.44,412.1722222222222,496.1,1,12,2021.0,2021.0,4693.0,1997.0,0.0,0.0,0.0,1997.0,2.0,419.0,1258.0,1677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
518,107.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,227.44,412.1722222222222,496.1,1,12,2021.0,2021.0,4693.0,1997.0,0.0,0.0,0.0,1997.0,1.0,224.0,1214.0,1438.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
520,107.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,227.44,412.1722222222222,496.1,1,12,2021.0,2021.0,4693.0,1997.0,0.0,0.0,0.0,1997.0,2.0,419.0,1258.0,1677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
